date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2015. 9. 13,2.0150913063527E+016,삼성,76,0.49,0.38,0.82,17,9,13,10,2,22
2016. 1. 20,2.0160120603027E+018,KCC,88,0.52,0.29,0.88,11,15,28,7,2,21
2016. 1. 20,2.0160120603027E+018,오리온스,70,0.58,0.24,0.81,12,8,20,6,1,22
2016. 2. 7,2.0160207556527E+018,SK,81,0.5,0.4,0.74,13,13,18,7,0,16
2016. 2. 7,2.0160207556527E+018,전자랜드,87,0.56,0.52,0.83,19,8,18,7,1,24
2016. 1. 17,2.0160117351627E+018,삼성,81,0.47,0.23,0.9,18,20,25,4,3,16
2016. 1. 17,2.0160117351627E+018,동부,69,0.49,0.33,0.67,23,9,15,6,1,23
2016. 1. 17,2.0160117556027E+018,SK,92,0.53,0.33,0.87,19,15,21,8,3,14
2016. 1. 17,2.0160117556027E+018,KCC,86,0.55,0.44,0.78,11,9,21,4,2,24
2015. 11. 15,2.0151115306027E+018,오리온스,75,0.47,0.35,0.7,15,11,32,1,5,17
2015. 11. 15,2.0151115306027E+018,KCC,67,0.4,0.25,0.44,8,15,24,5,6,22
2015. 10. 31,2.0151031705527E+017,KGC 인삼공사,88,0.56,0.33,0.71,20,5,27,11,3,19
2015. 10. 31,2.0151031705527E+017,SK,83,0.55,0.33,0.8,19,9,34,2,1,18
2015. 11. 14,2.0151114357027E+018,삼성,90,0.53,0.36,0.65,21,18,18,6,5,24
2015. 11. 14,2.0151114357027E+018,KGC 인삼공사,96,0.62,0.44,0.68,22,6,19,7,2,17
2015. 9. 20,2.0150920107027E+017,모비스,99,0.48,0.44,0.63,24,8,27,7,3,19
2015. 9. 20,2.0150920107027E+017,KGC 인삼공사,97,0.48,0.39,0.5,25,16,28,5,4,22
2015. 12. 25,2.0151225100627E+018,모비스,62,0.47,0.35,0.44,20,7,25,5,5,12
2015. 12. 25,2.0151225100627E+018,KT,63,0.42,0.27,1,15,9,25,8,3,19
2015. 9. 28,2.0150928651627E+017,전자랜드,60,0.49,0.26,0.65,11,6,25,3,4,25
2015. 9. 28,2.0150928651627E+017,동부,68,0.43,0.28,0.71,13,14,26,4,3,23
2015. 10. 14,2.0151014161027E+017,동부,76,0.5,0.54,0.69,18,11,27,4,2,16
2015. 10. 14,2.0151014161027E+017,모비스,80,0.51,0.35,0.65,23,9,20,12,4,15
2016. 2. 21,2.0160221555027E+018,SK,87,0.57,0.29,0.81,19,13,26,6,1,18
2016. 2. 21,2.0160221555027E+018,LG,77,0.47,0.44,0.79,16,5,19,8,1,20
